ticker,asset_class,currency,factor,factor_label,direction,magnitude,sensitivity_level,raw_value,value_basis,sign_positive_meaning,sign_negative_meaning,structural_tags,evidence_metrics
005930.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.232455,low,-0.232455,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|korea_equity_proxy|semiconductor_proxy,corr_sp500_60d_krw=-0.232455
005930.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.960254,high,0.960254,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,ai_capex_proxy|korea_equity_proxy|semiconductor_proxy,corr_kospi200_60d_krw=0.960254
005930.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.005363,high,-0.005363,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,ai_capex_proxy|korea_equity_proxy|semiconductor_proxy,avg_stress_ret_krw=-0.005363
006400.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.043592,low,0.043592,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,beta_sp500_1y_krw=0.043592
006400.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.092666,low,0.092666,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,korea_equity_proxy,downside_beta_sp500_1y_krw=0.092666
006400.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.245378,low,-0.245378,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,corr_sp500_60d_krw=-0.245378
006400.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.588904,medium,0.588904,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,korea_equity_proxy,corr_kospi200_60d_krw=0.588904
006400.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.00733,high,-0.00733,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,korea_equity_proxy,avg_stress_ret_krw=-0.00733
011200.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.04707,low,-0.04707,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,beta_sp500_1y_krw=-0.04707
011200.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.095855,low,-0.095855,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,korea_equity_proxy,downside_beta_sp500_1y_krw=-0.095855
011200.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.287535,low,-0.287535,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,corr_sp500_60d_krw=-0.287535
011200.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.342177,medium,0.342177,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,korea_equity_proxy,corr_kospi200_60d_krw=0.342177
011200.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.000737,low,-0.000737,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,korea_equity_proxy,avg_stress_ret_krw=-0.000737
017670.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.002631,low,-0.002631,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,beta_sp500_1y_krw=-0.002631
017670.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.037539,low,0.037539,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,korea_equity_proxy,downside_beta_sp500_1y_krw=0.037539
017670.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.165655,low,-0.165655,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,corr_sp500_60d_krw=-0.165655
017670.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.592423,medium,0.592423,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,korea_equity_proxy,corr_kospi200_60d_krw=0.592423
017670.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.001759,medium,-0.001759,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,korea_equity_proxy,avg_stress_ret_krw=-0.001759
032830.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.026675,low,-0.026675,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,credit_proxy|korea_equity_proxy|korea_financial_proxy,beta_sp500_1y_krw=-0.026675
032830.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.133416,low,0.133416,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,credit_proxy|korea_equity_proxy|korea_financial_proxy,downside_beta_sp500_1y_krw=0.133416
032830.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.225732,low,-0.225732,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,credit_proxy|korea_equity_proxy|korea_financial_proxy,corr_sp500_60d_krw=-0.225732
