ticker,asset_class,currency,vol_annual,mdd_1y,var_95_1y,cvar_95_1y,beta_sp500_1y,downside_beta_sp500_1y,beta_ks200_1y,downside_beta_ks200_1y,corr_sp500_60d,corr_kospi200_60d,beta_soxx_1y,downside_beta_soxx_1y,corr_soxx_60d,beta_uso_1y,beta_gld_1y,avg_stress_ret,adv_60,vol_annual_krw,mdd_1y_krw,var_95_1y_krw,cvar_95_1y_krw,beta_sp500_1y_krw,downside_beta_sp500_1y_krw,beta_ks200_1y_krw,downside_beta_ks200_1y_krw,corr_sp500_60d_krw,corr_kospi200_60d_krw,beta_soxx_1y_krw,downside_beta_soxx_1y_krw,corr_soxx_60d_krw,beta_usdkrw_1y,beta_uso_1y_krw,beta_gld_1y_krw,beta_kr_financial_basket_1y_krw,avg_stress_ret_krw,return_observation_count,stress_observation_count,sp500_overlap_count,ks200_overlap_count,soxx_overlap_count,usdkrw_overlap_count,uso_overlap_count,gld_overlap_count,kr_financial_overlap_count,annual_return_1y_krw,sharpe_1y_krw_proxy,data_version
HD,us_stock,USD,0.27937,-0.23489,-0.025178,-0.031296,0.997824,0.986758,0.022547,-0.007255,0.620101,-0.208392,0.295992,0.243954,0.340829,0.174825,0.238893,0.000454,2097679828510.6018,0.27937,-0.23489,-0.025178,-0.031296,0.997824,0.986758,0.022547,-0.007255,0.620101,-0.208392,0.295992,0.243954,0.340829,0.702673,0.174825,0.238893,-0.026218,0.000454,4862,261,4862,4595,1262,4283,4862,4862,4621,-0.12338,-0.633671,20260520
HYG,bond_etf,USD,0.144607,-0.033899,-0.008982,-0.015185,0.493717,0.49202,-0.021476,0.009334,0.817016,-0.466129,0.150812,0.140631,0.3325,0.134074,0.262656,-0.001305,6315882479931.434,0.144607,-0.033899,-0.008982,-0.015185,0.493717,0.49202,-0.021476,0.009334,0.817016,-0.466129,0.150812,0.140631,0.3325,0.746701,0.134074,0.262656,-0.01803,-0.001305,4795,261,4795,4530,1262,4217,4795,4795,4555,0.143732,1.128487,20260520
IAU,gold_etf,USD,0.21647,-0.153216,-0.026279,-0.04078,0.26306,0.265932,-0.060023,-0.03531,0.528275,0.006124,0.090043,0.090709,0.425379,0.150727,0.998381,-0.000527,1268387351300.059,0.21647,-0.153216,-0.026279,-0.04078,0.26306,0.265932,-0.060023,-0.03531,0.528275,0.006124,0.090043,0.090709,0.425379,0.852937,0.150727,0.998381,-0.05471,-0.000527,4862,261,4862,4595,1262,4283,4862,4862,4621,0.521812,1.817236,20260520
IEF,bond_etf,USD,0.150199,-0.043671,-0.008891,-0.014722,0.159029,0.108459,-0.155599,-0.151172,0.723184,-0.425285,0.033671,0.000875,0.225759,0.045658,0.396819,0.000289,1378840058167.9148,0.150199,-0.043671,-0.008891,-0.014722,0.159029,0.108459,-0.155599,-0.151172,0.723184,-0.425285,0.033671,0.000875,0.225759,0.965981,0.045658,0.396819,-0.098377,0.000289,4862,261,4862,4595,1262,4283,4862,4862,4621,0.110974,0.802384,20260520
ITA,etf,USD,0.239488,-0.135709,-0.022929,-0.029089,0.969284,1.024695,0.072965,0.061743,0.703063,-0.013939,0.314306,0.384371,0.502455,0.229749,0.251646,-0.002696,403446433825.74097,0.239488,-0.135709,-0.022929,-0.029089,0.969284,1.024695,0.072965,0.061743,0.703063,-0.013939,0.314306,0.384371,0.502455,0.604057,0.229749,0.251646,0.015674,-0.002696,4862,261,4862,4595,1262,4283,4862,4862,4621,0.370609,1.506561,20260520
IWM,etf,USD,0.252104,-0.086482,-0.019112,-0.027443,1.091852,1.090414,0.065019,0.014657,0.898612,-0.232213,0.464304,0.485123,0.749771,0.238061,0.234148,-0.001818,14626092625479.27,0.252104,-0.086482,-0.019112,-0.027443,1.091852,1.090414,0.065019,0.014657,0.898612,-0.232213,0.464304,0.485123,0.749771,0.537785,0.238061,0.234148,0.007602,-0.001818,4862,261,4862,4595,1262,4283,4862,4862,4621,0.415449,1.821744,20260520
JNJ,us_stock,USD,0.205912,-0.127752,-0.016474,-0.02236,0.642646,0.640549,-0.05104,-0.015532,0.553375,-0.305057,0.028339,-0.079267,0.172952,0.128772,0.291241,-0.000541,2699858638542.3745,0.205912,-0.127752,-0.016474,-0.02236,0.642646,0.640549,-0.05104,-0.015532,0.553375,-0.305057,0.028339,-0.079267,0.172952,0.79648,0.128772,0.291241,-0.057249,-0.000541,4862,261,4862,4595,1262,4283,4862,4862,4621,0.686421,3.476187,20260520
JPM,us_stock,USD,0.37259,-0.139773,-0.025532,-0.033032,1.270589,1.262468,0.067042,0.022343,0.621544,-0.270461,0.313456,0.357017,0.321328,0.262429,0.070669,0.001095,4134287942235.263,0.37259,-0.139773,-0.025532,-0.033032,1.270589,1.262468,0.067042,0.022343,0.621544,-0.270461,0.313456,0.357017,0.321328,0.454224,0.262429,0.070669,0.024988,0.001095,4862,261,4862,4595,1262,4283,4862,4862,4621,0.226191,0.874316,20260520
KO,us_stock,USD,0.210599,-0.085561,-0.017855,-0.02252,0.652714,0.703882,-0.02451,0.025584,0.449796,-0.290229,0.058692,0.018482,0.104543,0.143348,0.291498,-0.002396,1733498965608.2725,0.210599,-0.085561,-0.017855,-0.02252,0.652714,0.703882,-0.02451,0.025584,0.449796,-0.290229,0.058692,0.018482,0.104543,0.760475,0.143348,0.291498,-0.025264,-0.002396,4862,261,4862,4595,1262,4283,4862,4862,4621,0.266442,1.25515,20260520
LQD,bond_etf,USD,0.148416,-0.038548,-0.008265,-0.015526,0.29572,0.287431,-0.102611,-0.083027,0.783587,-0.46256,0.090794,0.059833,0.297464,0.074657,0.355007,-0.000832,6362320513297.072,0.148416,-0.038548,-0.008265,-0.015526,0.29572,0.287431,-0.102611,-0.083027,0.783587,-0.46256,0.090794,0.059833,0.297464,0.885226,0.074657,0.355007,-0.067578,-0.000832,4862,261,4862,4595,1262,4283,4862,4862,4621,0.129809,0.946819,20260520
