candidate_source,candidate_name,recommendation_status,backtest_gate_status,formal_gate_blockers,formal_gate_blocker_count,target_evaluated_count,target_improved_count,target_worsened_count,target_insufficient_history_count,target_lags_cash_count,target_bootstrap_robust_count,target_bootstrap_count,target_bootstrap_min_p_improve,target_bootstrap_avg_p_improve,target_avg_cash_net_stress_delta,target_min_cash_net_stress_delta,target_avg_cash_net_mdd_delta,target_min_cash_net_mdd_delta,target_avg_cash_net_cvar_delta,target_min_cash_net_cvar_delta,target_max_turnover,combo_min_adv_60,liquidity_order_notional_krw,liquidity_adv_usage_pct,liquidity_capacity_status,formal_readiness_score,backtest_reason,reference_reason,gate_fail_reasons
multi,IEF + DBC,REFERENCE_ONLY,REFERENCE_ONLY_CASH_BASELINE,cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal|return_drag_reference|reference_only,5,2,2,0,0,2,0,2,0.385,0.4675,-0.00788,-0.008616,-0.009947,-0.010514,-0.000316,-0.000361,0.100001,73595336412.57709,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,47.7,target-scenario hedge did not beat cash-only de-risking in 2 stress case,annual return drag soft warning,
one_to_one,IEF,FAIL_GATE,VALIDATION_THIN,fail_gate|validation_thin|cash_baseline_lag|bootstrap_not_robust,4,1,1,0,0,1,0,1,0.365,0.365,-0.029708,-0.029708,-0.021257,-0.021257,-0.00099,-0.00099,0.2,1378840058167.9148,,,OK_ADV_FLOOR_NO_ORDER_SIZE,47.3,target-scenario backtest has only 1 evaluated stress case; 표본 부족,,연환산 수익률 훼손 하드 게이트
one_to_one,TLT,FAIL_GATE,VALIDATION_THIN,fail_gate|validation_thin|cash_baseline_lag|bootstrap_not_robust,4,1,1,0,0,1,0,1,0.24,0.24,-0.05652,-0.05652,-0.037814,-0.037814,-0.001648,-0.001648,0.2,4175625624321.1646,,,OK_ADV_FLOOR_NO_ORDER_SIZE,44.8,target-scenario backtest has only 1 evaluated stress case; 표본 부족,,연환산 수익률 훼손 하드 게이트
multi,SHY + DBC,FAIL_GATE,REFERENCE_ONLY_CASH_BASELINE,fail_gate|cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal,4,2,2,0,0,2,0,2,0.7,0.755,0.015706,0.011721,-0.031638,-0.033718,-0.000875,-0.001194,0.3,73595336412.57709,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,44.0,target-scenario hedge did not beat cash-only de-risking in 2 stress case,,연환산 수익률 훼손 하드 게이트
multi,TLT + DBC,REFERENCE_ONLY,REFERENCE_ONLY_CASH_BASELINE,cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal|return_drag_reference|reference_only,5,2,2,0,0,2,0,2,0.19,0.2625,-0.018711,-0.019552,-0.012499,-0.013126,-0.000521,-0.000577,0.100001,73595336412.57709,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,43.8,target-scenario hedge did not beat cash-only de-risking in 2 stress case,annual return drag soft warning,
multi,IEF + DBC,FAIL_GATE,REFERENCE_ONLY_CASH_BASELINE,fail_gate|cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal,4,2,2,0,0,2,0,2,0.555,0.6575,-0.002788,-0.00727,-0.03981,-0.041903,-0.001482,-0.001583,0.3,73595336412.57709,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,41.1,target-scenario hedge did not beat cash-only de-risking in 2 stress case,,연환산 수익률 훼손 하드 게이트
multi,IAU + DBC,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal|return_drag_reference|reference_only,6,1,1,0,0,1,0,1,0.55,0.55,-0.003129,-0.003129,-0.012021,-0.012021,-0.000506,-0.000506,0.100001,73595336412.57709,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,41.0,target-scenario backtest has only 1 evaluated stress case; 표본 부족,annual return drag soft warning,
multi,SHY + DBC,FAIL_GATE,REFERENCE_ONLY_CASH_BASELINE,fail_gate|cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal,4,2,2,0,0,2,0,2,0.545,0.6175,0.000682,-0.000347,-0.012338,-0.013091,-0.000166,-0.000177,0.2,73595336412.57709,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,40.9,target-scenario hedge did not beat cash-only de-risking in 2 stress case,,연환산 수익률 훼손 하드 게이트
one_to_one,XLP,REFERENCE_ONLY,VALIDATION_INSUFFICIENT,validation_insufficient|return_drag_reference|reference_only,3,0,0,0,0,0,0,0,,,,,,,,,,1919142658012.324,,,OK_ADV_FLOOR_NO_ORDER_SIZE,40.0,target-scenario historical validation has insufficient history; 검증 부족,annual return drag soft warning,
one_to_one,XLU,REFERENCE_ONLY,VALIDATION_INSUFFICIENT,validation_insufficient|return_drag_reference|reference_only,3,0,0,0,0,0,0,0,,,,,,,,,,1650141913885.7173,,,OK_ADV_FLOOR_NO_ORDER_SIZE,40.0,target-scenario historical validation has insufficient history; 검증 부족,annual return drag soft warning,
