date,scenario_code,scenario_name,signal_name,signal_label,metric_type,ticker,reference_ticker,lookback_days,weight,direction,raw_value,normalized_value,aligned_value,unit_score,contribution
2022-01-11,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,vix_level_z,VIX level,level_z,^VIX,,252,0.15,positive,18.41,-0.084592,-0.084592,0.478852,-0.006344
2022-01-11,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.1,positive,0.010961,0.273082,0.273082,0.568271,0.013654
2022-01-11,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,spy_ret_5d,SPY 5d return,ret_z,SPY,,5,0.1,negative,-0.016333,-1.347575,1.347575,0.836894,0.067379
2022-01-12,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,uso_ret_5d,USO 5d return,ret_z,USO,,5,0.2,positive,0.062782,1.319435,1.319435,0.829859,0.131944
2022-01-12,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,dbc_ret_20d,DBC 20d return,ret_z,DBC,,20,0.1,positive,0.08379,1.499194,1.499194,0.874799,0.07496
2022-01-12,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,gld_ret_5d,GLD 5d return,ret_z,GLD,,5,0.15,positive,0.009937,0.56472,0.56472,0.64118,0.042354
2022-01-12,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,PPA,SPY,20,0.15,positive,0.038526,1.893626,1.893626,0.973406,0.142022
2022-01-12,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,vix_level_z,VIX level,level_z,^VIX,,252,0.15,positive,17.620001,-0.349643,-0.349643,0.412589,-0.026223
2022-01-12,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.1,positive,0.004391,-0.311648,-0.311648,0.422088,-0.015582
2022-01-12,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,spy_ret_5d,SPY 5d return,ret_z,SPY,,5,0.1,negative,0.005636,0.097227,-0.097227,0.475693,-0.004861
2022-01-13,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,uso_ret_5d,USO 5d return,ret_z,USO,,5,0.2,positive,0.024257,0.382006,0.382006,0.595501,0.038201
2022-01-13,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,dbc_ret_20d,DBC 20d return,ret_z,DBC,,20,0.1,positive,0.066997,1.116562,1.116562,0.77914,0.055828
2022-01-13,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,gld_ret_5d,GLD 5d return,ret_z,GLD,,5,0.15,positive,0.018983,1.057676,1.057676,0.764419,0.079326
2022-01-13,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,PPA,SPY,20,0.15,positive,0.06334,2.622317,2.622317,1.0,0.15
2022-01-13,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,vix_level_z,VIX level,level_z,^VIX,,252,0.15,positive,20.309999,0.557158,0.557158,0.639289,0.041787
2022-01-13,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.1,positive,0.00125,-0.590526,-0.590526,0.352369,-0.029526
2022-01-13,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,spy_ret_5d,SPY 5d return,ret_z,SPY,,5,0.1,negative,-0.007287,-0.748829,0.748829,0.687207,0.037441
2022-01-14,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,uso_ret_5d,USO 5d return,ret_z,USO,,5,0.2,positive,0.058232,1.200069,1.200069,0.800017,0.120007
2022-01-14,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,dbc_ret_20d,DBC 20d return,ret_z,DBC,,20,0.1,positive,0.074494,1.272083,1.272083,0.818021,0.063604
2022-01-14,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,gld_ret_5d,GLD 5d return,ret_z,GLD,,5,0.15,positive,0.011446,0.6386,0.6386,0.65965,0.047895
2022-01-14,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,PPA,SPY,20,0.15,positive,0.071536,2.802319,2.802319,1.0,0.15
2022-01-14,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,vix_level_z,VIX level,level_z,^VIX,,252,0.15,positive,19.190001,0.177228,0.177228,0.544307,0.013292
2022-01-14,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.1,positive,0.000388,-0.664973,-0.664973,0.333757,-0.033249
2022-01-14,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,spy_ret_5d,SPY 5d return,ret_z,SPY,,5,0.1,negative,-0.002939,-0.460469,0.460469,0.615117,0.023023
2022-01-17,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.1,positive,0.002166,-0.502867,-0.502867,0.374283,-0.025143
2022-01-18,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,uso_ret_5d,USO 5d return,ret_z,USO,,5,0.2,positive,0.085648,1.851834,1.851834,0.962958,0.185183
2022-01-18,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,dbc_ret_20d,DBC 20d return,ret_z,DBC,,20,0.1,positive,0.095856,1.726744,1.726744,0.931686,0.086337
2022-01-18,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,gld_ret_5d,GLD 5d return,ret_z,GLD,,5,0.15,positive,0.006716,0.376687,0.376687,0.594172,0.028252
