date,scenario_code,structured_confidence,structured_coverage,event_overlay_confidence,event_count,overlay_applied,final_confidence,merge_engine_version
2021-08-31,higher_for_longer_long_rate_shock,5.780055,0.12,,0,N,5.780055,phase6_final_market_state_v1
2021-08-31,korea_domestic_financial_stress,4.816713,0.1,,0,N,4.816713,phase6_final_market_state_v1
2021-08-31,semiconductor_ai_cycle_shock,7.80514,0.15,,0,N,7.80514,phase6_final_market_state_v1
2021-08-31,soft_landing_goldilocks,6.282669,0.130435,,0,N,6.282669,phase6_final_market_state_v1
2021-08-31,usd_strength_krw_weakness,29.808904,0.478261,,0,N,29.808904,phase6_final_market_state_v1
2021-09-01,acute_global_stress_liquidity_crunch,51.028949,0.916667,,0,N,51.028949,phase6_final_market_state_v1
2021-09-01,china_trade_fragmentation_shock,58.973716,0.916667,,0,N,58.973716,phase6_final_market_state_v1
2021-09-01,geopolitical_escalation_supply_shock,48.492573,0.95,,0,N,48.492573,phase6_final_market_state_v1
2021-09-01,higher_for_longer_long_rate_shock,75.619093,1.0,,0,N,75.619093,phase6_final_market_state_v1
2021-09-01,korea_domestic_financial_stress,17.164779,0.3,,0,N,17.164779,phase6_final_market_state_v1
2021-09-01,semiconductor_ai_cycle_shock,43.649062,0.6,,0,N,43.649062,phase6_final_market_state_v1
2021-09-01,slowdown_recession_deflation_risk,11.981385,0.25,,0,N,11.981385,phase6_final_market_state_v1
2021-09-01,soft_landing_goldilocks,52.561429,0.869565,,0,N,52.561429,phase6_final_market_state_v1
2021-09-01,stagflation_reinflation_energy_shock,59.848965,1.0,,0,N,59.848965,phase6_final_market_state_v1
2021-09-01,usd_strength_krw_weakness,58.647407,0.956522,,0,N,58.647407,phase6_final_market_state_v1
2021-09-02,acute_global_stress_liquidity_crunch,58.689401,0.916667,,0,N,58.689401,phase6_final_market_state_v1
2021-09-02,china_trade_fragmentation_shock,62.439316,0.916667,,0,N,62.439316,phase6_final_market_state_v1
2021-09-02,geopolitical_escalation_supply_shock,53.077916,0.95,,0,N,53.077916,phase6_final_market_state_v1
2021-09-02,higher_for_longer_long_rate_shock,69.435305,1.0,,0,N,69.435305,phase6_final_market_state_v1
2021-09-02,korea_domestic_financial_stress,41.156094,0.65,,0,N,41.156094,phase6_final_market_state_v1
2021-09-02,semiconductor_ai_cycle_shock,75.992406,1.0,,0,N,75.992406,phase6_final_market_state_v1
